StartClass,StartSubclass,StartDecimal,StartCutterLetter,StartCutterNumber,EndClass,EndSubclass,EndDecimal,EndCutterLetter,EndCutterNumber,"Description"
BF,1783,,,,,1815,,,,"Seers. Prophets. Prophecies"
BF,1845,,,,,1891,,,,"Fortune-telling"
BF,2050,,,,,2055,,,,"Human-alien encounters. Contact between humans and extraterrestrials"
BH,1,,,,,301,,,,"Aesthetics"
BH,81,,,,,208,,,,"History"
BH,301,,,,,,,,,"Special topics"
BJ,1,,,,,1725,,,,"Ethics"
BJ,71,,,,,1185,,,,"History and general works Including individual ethical philosophers"
BJ,1188,,,,,1295,,,,"Religious ethics"
BJ,1298,,,,,1335,,,,"Evolutionary and genetic ethics"
BJ,1365,,,,,1385,,,,"Positivist ethics"
BJ,1388,,,,,,,,,"Socialist ethics"
BJ,1390,,,,,1390,5,,,"Communist ethics"
BJ,1392,,,,,,,,,"Totalitarian ethics"
BJ,1395,,,,,,,,,"Feminist ethics"
BJ,1518,,,,,1697,,,,"Individual ethics. Character. Virtue Including practical and applied ethics, conduct of life, vices, success, ethics for children"
BJ,1725,,,,,,,,,"Ethics of social groups, classes, etc. Professional ethics"
BJ,1801,,,,,2195,,,,"Social usages. Etiquette"
BJ,2021,,,,,2078,,,,"Etiquette of entertaining"
BJ,2139,,,,,2156,,,,"Etiquette of travel"
BJ,2195,,,,,,,,,"Telephone etiquette"
BL,1,,,,,2790,,,,"Religions. Mythology. Rationalism"
BL,1,,,,,50,,,,"Religion (General)"
BL,51,,,,,65,,,,"Philosophy of religion. Psychology of religion. Religion in relation to other subjects"
BL,70,,,,,71,,,,"Sacred books (General)"
BL,71,5,,,,73,,,,"Biography"
BL,74,,,,,99,,,,"Religions of the world"
BL,175,,,,,265,,,,"Natural theology"
BL,175,,,,,190,,,,"General"
BL,200,,,,,,,,,"Theism"
BL,205,,,,,216,,,,"Nature and attributes of Deity"
BL,217,,,,,,,,,"Polytheism"
BL,218,,,,,,,,,"Dualism"
BL,220,,,,,,,,,"Pantheism"
BL,221,,,,,,,,,"Monotheism"
BL,224,,,,,227,,,,"Creation. Theory of the earth"
BL,239,,,,,265,,,,"Religion and science"
BL,270,,,,,,,,,"Unity and plurality"
BL,290,,,,,,,,,"The soul"
BL,300,,,,,325,,,,"The myth. Comparative mythology"
BL,350,,,,,385,,,,"Classification of religions"
BL,410,,,,,,,,,"Religions in relation to one another"
BL,425,,,,,490,,,,"Religious doctrines (General)"
BL,430,,,,,,,,,"Origins of religion"
BL,435,,,,,457,,,,"Nature worship"
BL,458,,,,,,,,,"Women in comparative religion"
BL,460,,,,,,,,,"Sex worship. Phallicism"
BL,465,,,,,470,,,,"Worship of human beings"
BL,473,,,,,490,,,,"Other"
BL,500,,,,,547,,,,"Eschatology"
BL,550,,,,,619,,,,"Worship. Cultus"
BL,624,,,,,629,5,,,"Religious life"
BL,630,,,,,632,5,,,"Religious organization"
BL,660,,,,,2680,,,,"History and principles of religions"
BL,660,,,,,,,,,"Indo-European. Aryan"
BL,685,,,,,,,,,"Ural-Altaic"
BL,687,,,,,,,,,"Mediterranean region"
BL,689,,,,,980,,,,"European. Occidental"
BL,700,,,,,820,,,,"Classical (Etruscan, Greek, Roman)"
BL,830,,,,,875,,,,"Germanic and Norse"
BL,900,,,,,980,,,,"Other European"
BL,1000,,,,,2370,,,,"Asian. Oriental"
BL,1000,,,,,1035,,,,"General"
BL,1050,,,,,,,,,"Northern and Central Asia"
BL,1055,,,,,,,,,"Southern and Eastern Asia"
BL,1060,,,,,,,,,"Southwestern Asia. Asia Minor. Levant"
BL,1100,,,,,1295,,,,"Hinduism"
BL,1100,,,,,1107,5,,,"General"
BL,1108,2,,,,1108,7,,,"Religious education"
BL,1109,2,,,,1109,7,,,"Antiquities. Archaeology. Inscriptions"
BL,1111,,,,,1143,2,,,"Sacred books. Sources"
BL,1112,2,,,,1137,5,,,"Vedic texts"
BL,1140,2,,,,1140,4,,,"Puranas"
BL,1141,2,,,,1142,6,,,"Tantric texts"
BL,1145,,,,,1146,,,,"Hindu literature"
BL,1153,7,,,,1168,,,,"By region or country"
BL,1212,32,,,,1215,,,,"Doctrines. Theology"
BL,1216,,,,,1225,,,,"Hindu pantheon. Deities"
BL,1225,2,,,,1243,58,,,"Religious life"
BL,1243,72,,,,1243,78,,,"Monasteries. Temples, etc."
BL,1271,2,,,,1295,,,,"Modifications. Sects"
BL,1284,5,,,,1289,592,,,"Vaishnavism"
BL,1300,,,,,1380,,,,"Jainism"
BL,1310,,,,,1314,2,,,"Sacred books. Sources"
BL,1315,,,,,1317,,,,"Jain literature"
BL,1375,3,,,,1375,7,,,"Jaina pantheon. Deities"
BL,1376,,,,,1378,85,,,"Forms of worship"
BL,1379,,,,,1380,,,,"Modifications, etc."
BL,1500,,,,,1590,,,,"Zoroastrianism (Mazdeism). Parseeism"
BL,1595,,,,,,,,,"Yezidis"
BL,1600,,,,,1695,,,,"Semitic religions"
BL,1600,,,,,1605,,,,"General"
BL,1610,,,,,,,,,"Aramean"
BL,1615,,,,,1616,,,,"Sumerian"
BL,1620,,,,,1625,,,,"Assyro-Babylonian"
BL,1630,,,,,,,,,"Chaldean"
BL,1635,,,,,,,,,"Harranian. Pseudo-Sabian"
BL,1640,,,,,1645,,,,"Syrian. Palestinian. Samaritan"
BL,1650,,,,,,,,,"Hebrew For Judaism, see subclass BM"
BL,1660,,,,,1665,,,,"Phoenician. Carthaginian, etc."
BL,1670,,,,,1672,,,,"Canaanite"
BL,1675,,,,,,,,,"Moabite. Philistine"
BL,1680,,,,,1685,,,,"Arabian (except Islam)"
BL,1695,,,,,,,,,"Druses"
BL,1710,,,,,,,,,"Ethiopian"
BL,1750,,,,,2350,,,,"By region or country"
BL,1790,,,,,1975,,,,"China"
BL,1830,,,,,1883,,,,"Confucianism"
BL,1899,,,,,1942,85,,,"Taoism"
BL,2000,,,,,2032,,,,"India"
BL,2017,,,,,2018,7,,,"Sikhism"
BL,2195,,,,,2228,,,,"Japan"
BL,2216,,,,,2227,8,,,"Shinto"
BL,2230,,,,,2240,,,,"Korea"
BL,2390,,,,,2490,,,,"African"
BL,2420,,,,,2460,,,,"Egyptian"
BL,2500,,,,,2592,,,,"American For American Indians, see classes E-F"
BL,2600,,,,,2630,,,,"Pacific Ocean islands. Oceania"
BL,2670,,,,,,,,,"Arctic regions"
BL,2700,,,,,2790,,,,"Rationalism"
BM,1,,,,,990,,,,"Judaism"
BM,1,,,,,449,,,,"General"
BM,70,,,,,135,,,,"Study and teaching"
BM,150,,,,,449,,,,"History"
BM,201,,,,,449,,,,"By region or country"
BM,480,,,,,488,8,,,"Pre-Talmudic Jewish literature (non-Biblical)"
BM,495,,,,,532,,,,"Sources of Jewish religion. Rabbinical literature"
BM,497,,,,,509,,,,"Talmudic literature"
BM,497,,,,,497,8,,,"Mishnah"
BM,498,,,,,498,8,,,"Palestinian Talmud"
BM,499,,,,,504,7,,,"Babylonian Talmud"
BM,507,,,,,507,5,,,"Baraita"
BM,508,,,,,508,5,,,"Tosefta"
BM,510,,,,,518,,,,"Midrash"
BM,520,,,,,523,7,,,"Halacha"
BM,525,,,,,526,,,,"Cabala"
BM,529,,,,,,,,,"Jewish tradition"
BM,534,,,,,538,,,,"Relation of Judaism to special subject fields"
BM,534,,,,,536,,,,"Religions"
BM,545,,,,,582,,,,"Principles of Judaism (General)"
BM,585,,,,,585,4,,,"Controversial works against the Jews"
BM,590,,,,,591,,,,"Jewish works against Christianity and Islam"
BM,600,,,,,645,,,,"Dogmatic Judaism"
BM,646,,,,,,,,,"Heresy, heresies"
BM,648,,,,,,,,,"Apologetics"
BM,650,,,,,747,,,,"Practical Judaism"
BM,651,,,,,652,7,,,"Priests, rabbis, etc."
BM,653,,,,,653,7,,,"Congregations. Synagogues"
BM,654,,,,,655,6,,,"The tabernacle. The temple"
BM,656,,,,,657,,,,"Forms of worship"
BM,660,,,,,679,,,,"Liturgy and ritual"
BM,690,,,,,695,,,,"Festivals and fasts"
BM,700,,,,,720,,,,"Rites and customs"
BM,723,,,,,729,,,,"Jewish way of life. Spiritual life. Mysticism. Personal religion. Moral theology"
BM,730,,,,,747,,,,"Preaching. Homiletics"
BM,750,,,,,755,,,,"Biography"
BM,900,,,,,990,,,,"Samaritans"
BP,1,,,,,610,,,,"Islam. Bahai Faith. Theosophy, etc."
BP,1,,,,,253,,,,"Islam"
BP,1,,,,,68,,,,"General"
BP,42,,,,,48,,,,"Study and teaching"
BP,50,,,,,68,,,,"History"
BP,70,,,,,80,,,,"Biography"
BP,75,,,,,77,75,,,"Muh.ammad, Prophet, d. 632"
BP,87,,,,,89,,,,"Islamic literature"
BP,100,,,,,157,,,,"Sacred books"
BP,100,,,,,134,,,,"Koran"
BP,128,15,,,,129,83,,,"Special parts and chapters"
BP,130,,,,,134,,,,"Works about the Koran"
BP,135,,,,,136,9,,,"Hadith literature. Traditions. Sunna"
BP,137,,,,,137,5,,,"Koranic and other Islamic legends"
BP,160,,,,,165,,,,"General works on Islam"
BP,165,5,,,,,,,,"Dogma ('Aq-'id)"
BP,166,,,,,166,94,,,"Theology (Kalam)"
BP,167,5,,,,,,,,"Heresy, heresies, heretics"
BP,168,,,,,,,,,"Apostasy from Islam"
BP,169,,,,,,,,,"Works against Islam and the Koran"
BP,170,,,,,,,,,"Works in defense of Islam. Islamic apologetics"
BP,170,2,,,,,,,,"Benevolent work. Social work. Welfare work, etc."
BP,170,3,,,,170,5,,,"Missionary work of Islam"
BP,171,,,,,173,,,,"Relation of Islam to other religions"
BP,173,25,,,,173,45,,,"Islamic sociology"
BP,174,,,,,190,,,,"The practice of Islam"
BP,176,,,,,181,,,,"The five duties of a Moslem. Pillars of Islam"
BP,182,,,,,,,,,"Jihad (Holy War)"
BP,184,,,,,184,9,,,"Religious ceremonies, rites, etc."
BP,186,,,,,186,97,,,"Special days and seasons, fasts, feasts, festivals, etc. Relics"
BP,187,,,,,187,9,,,"Shrines, sacred places, etc."
BP,188,,,,,190,,,,"Islamic religious life"
BP,188,2,,,,188,3,,,"Devotional literature"
BP,188,45,,,,189,65,,,"Sufism. Mysticism. Dervishes"
BP,189,68,,,,189,7,,,"Monasticism"
BP,191,,,,,253,,,,"Branches, sects, etc."
BP,192,,,,,194,9,,,"Shiites"
BP,221,,,,,223,,,,"Black Muslims"
BP,232,,,,,,,,,"Moorish Science Temple of America"
BP,251,,,,,253,,,,"Nurculuk"
BP,300,,,,,395,,,,"Bahai Faith"
BP,500,,,,,585,,,,"Theosophy"
BP,595,,,,,597,,,,"Anthroposophy"
BP,600,,,,,610,,,,"Other beliefs and movements"
BQ,1,,,,,9800,,,,"Buddhism"
BQ,1,,,,,10,,,,"Periodicals. Yearbooks (General)"
BQ,12,,,,,93,,,,"Societies, councils, associations, clubs, etc."
BQ,96,,,,,99,,,,"Financial institutions. Trusts"
BQ,100,,,,,102,,,,"Congresses. Conferences (General)"
BQ,104,,,,,105,,,,"Directories (General)"
BQ,107,,,,,109,,,,"Museums. Exhibitions"
BQ,115,,,,,126,,,,"General collections. Collected works"
BQ,128,,,,,,,,,"Encyclopedias (General)"
BQ,130,,,,,,,,,"Dictionaries (General)"
BQ,133,,,,,,,,,"Terminology"
BQ,135,,,,,,,,,"Questions and answers. Maxims (General)"
BQ,141,,,,,209,,,,"Religious education (General)"
BQ,210,,,,,219,,,,"Research"
BQ,221,,,,,249,,,,"Antiquities. Archaeology"
BQ,240,,,,,244,,,,"Literary discoveries"
BQ,246,,,,,249,,,,"Inscriptions, etc."
BQ,251,,,,,799,,,,"History"
BQ,800,,,,,829,,,,"Persecutions"
BQ,840,,,,,999,,,,"Biography"
BQ,840,,,,,858,,,,"Collective"
BQ,860,,,,,999,,,,"Individual"
BQ,860,,,,,939,,,,"Gautama Buddha"
BQ,940,,,,,999,,,,"Other"
BQ,1001,,,,,1045,,,,"Buddhist literature"
BQ,1100,,,,,3340,,,,"Tripit.aka (Canonical literature)"
BQ,4000,,,,,4060,,,,"General works"
BQ,4061,,,,,4570,,,,"Doctrinal and systematic Buddhism"
BQ,4180,,,,,4565,,,,"Special doctrines"
BQ,4570,,,,,,,,,"Special topics and relations to special subjects"
BQ,4600,,,,,4610,,,,"Relation to other religious and philosophical systems"
BQ,4620,,,,,4905,,,,"Buddhist pantheon"
BQ,4911,,,,,5720,,,,"Practice of Buddhism. Forms of worship"
BQ,4965,,,,,5030,,,,"Ceremonies and rites. Ceremonial rules"
BQ,5035,,,,,5065,,,,"Hymns. Chants. Recitations"
BQ,5070,,,,,5075,,,,"Altar, liturgical objects, ornaments, memorials, etc."
BQ,5080,,,,,5085,,,,"Vestments, altar cloths, etc."
BQ,5090,,,,,5095,,,,"Liturgical functions"
BQ,5100,,,,,5125,,,,"Symbols and symbolism"
BQ,5130,,,,,5137,,,,"Temple. Temple organization"
BQ,5140,,,,,5355,,,,"Buddhist ministry. Priesthood. Organization"
BQ,5251,,,,,5305,,,,"Education and training"
BQ,5310,,,,,5350,,,,"Preaching"
BQ,5360,,,,,5680,,,,"Religious life"
BQ,5485,,,,,5530,,,,"Precepts for laymen"
BQ,5535,,,,,5594,,,,"Devotional literature. Meditations. Prayers"
BQ,5595,,,,,5633,,,,"Devotion. Meditation. Prayer"
BQ,5635,,,,,5675,,,,"Spiritual life. Mysticism. Englightenment. Perfection"
BQ,5700,,,,,5720,,,,"Festivals. Days and seasons"
BQ,5725,,,,,5845,,,,"Folklore"
BQ,5821,,,,,5845,,,,"Miracle literature"
BQ,5851,,,,,5899,,,,"Benevolent work. Social work. Welfare work, etc."
BQ,5901,,,,,5975,,,,"Missionary work"
BQ,6001,,,,,6160,,,,"Monasticism and monastic life"
BQ,6200,,,,,6240,,,,"Asceticism. Hermits. Wayfaring life"
BQ,6300,,,,,6388,,,,"Monasteries. Temples. Shrines. Sites"
BQ,6400,,,,,6495,,,,"Pilgrims and pilgrimages"
BQ,7001,,,,,9800,,,,"Modifications, schools, etc."
BQ,7100,,,,,7285,,,,"Theravāda (Hinayana) Buddhism"
BQ,7300,,,,,7529,,,,"Mahayana Buddhism"
BQ,7530,,,,,7950,,,,"Tibetan Buddhism (Lamaism)"
BQ,7960,,,,,7989,,,,"Bonpo (Sect)"
BQ,8000,,,,,9800,,,,"Special modifications, sects, etc."
BQ,8500,,,,,8769,,,,"Pure Land Buddhism"
BQ,8900,,,,,9099,,,,"Tantric Buddhism"
BQ,9250,,,,,9519,,,,"Zen Buddhism"
BR,1,,,,,1725,,,,"Christianity"
BR,60,,,,,67,,,,"Early Christian literature. Fathers of the Church, etc."
BR,115,,,,,,,,,"Christianity in relation to special subjects"
BR,130,,,,,133,5,,,"Christian antiquities. Archaeology. Museums"
BR,140,,,,,1510,,,,"History"
BR,160,,,,,481,,,,"By period"
BR,160,,,,,275,,,,"Early and medieval"
BR,280,,,,,,,,,"Renaissance. Renaissance and Reformation"
BR,290,,,,,481,,,,"Modern period"
BR,323,5,,,,334,2,,,"Luther, Martin"
BR,500,,,,,1510,,,,"By region or country"
BR,1600,,,,,1609,,,,"Persecution. Martyrs"
BR,1609,5,,,,,,,,"Dissent"
BR,1610,,,,,,,,,"Tolerance and toleration"
BR,1615,,,,,1617,,,,"Liberalism"
BR,1620,,,,,,,,,"Sacrilege (History)"
BR,1690,,,,,1725,,,,"Biography"
BS,1,,,,,2970,,,,"The Bible"
BS,11,,,,,115,,,,"Early versions"
BS,125,,,,,355,,,,"Modern texts and versions"
BS,125,,,,,198,,,,"English"
BS,199,,,,,313,,,,"Other European languages"
BS,315,,,,,355,,,,"Non-European languages"
BS,315,,,,,,,,,"Asian languages"
BS,325,,,,,,,,,"African languages"
BS,335,,,,,,,,,"Languages of Oceania and Australasia"
BS,345,,,,,,,,,"American Indian languages"
BS,350,,,,,,,,,"Mixed languages"
BS,355,,,,,,,,,"Artificial languages"
BS,410,,,,,680,,,,"Works about the Bible"
BS,500,,,,,534,8,,,"Criticism and interpretation"
BS,535,,,,,537,,,,"The Bible as literature"
BS,546,,,,,558,,,,"Bible stories. Paraphrases of Bible stories. The Bible story"
BS,569,,,,,580,,,,"Men, women, and children of the Bible"
BS,580,,,,,,,,,"Individual Old Testament characters"
BS,585,,,,,613,,,,"Study and teaching"
BS,647,,,,,649,,,,"Prophecy"
BS,650,,,,,667,,,,"Bible and science"
BS,670,,,,,672,,,,"Bible and social sciences"
BS,701,,,,,1830,,,,"Old Testament"
BS,705,,,,,815,,,,"Early versions"
BS,825,,,,,1013,,,,"Modern texts and versions"
BS,1091,,,,,1099,,,,"Selections. Quotations"
BS,1110,,,,,1199,,,,"Works about the Old Testament"
BS,1160,,,,,1191,5,,,"Criticism and interpretation"
BS,1200,,,,,1830,,,,"Special parts of the Old Testament"
BS,1901,,,,,2970,,,,"New Testament"
BS,1937,,,,,2020,,,,"Early texts and versions"
BS,2025,,,,,2213,,,,"Modern texts and versions"
BS,2260,,,,,2269,,,,"Selections. Quotations"
BS,2280,,,,,2545,,,,"Works about the New Testament"
BS,2350,,,,,2393,,,,"Criticism and interpretation"
BS,2415,,,,,2417,,,,"The teachings of Jesus"
BS,2430,,,,,2520,,,,"Men, women, and children of the New Testament"
BS,2525,,,,,2544,,,,"Study and teaching"
BS,2547,,,,,2970,,,,"Special parts of the New Testament"
BS,2640,,,,,2765,6,,,"Epistles of Paul"
BT,10,,,,,1480,,,,"Doctrinal Theology"
BT,19,,,,,37,,,,"Doctrine and dogma"
BT,93,,,,,93,6,,,"Judaism"
BT,95,,,,,97,2,,,"Divine law. Moral government"
BT,98,,,,,180,,,,"God"
BT,109,,,,,115,,,,"Doctrine of the Trinity"
BT,117,,,,,123,,,,"Holy Spirit. The Paraclete"
BT,126,,,,,127,5,,,"Revelation"
BT,130,,,,,153,,,,"Divine attributes"
BT,198,,,,,590,,,,"Christology"
BT,296,,,,,500,,,,"Life of Christ"
BT,580,,,,,,,,,"Miracles. Apparitions. Shrines, sanctuaries, images, processions, etc."
BT,587,,,,,,,,,"Relics"
BT,595,,,,,680,,,,"Mary, Mother of Jesus Christ. Mariology"
BT,650,,,,,660,,,,"Miracles. Apparitions. Shrines, sanctuaries, images, processions, etc."
BT,695,,,,,749,,,,"Creation"
BT,750,,,,,811,,,,"Salvation. Soteriology"
BT,819,,,,,891,,,,"Eschatology. Last things"
BT,899,,,,,940,,,,"Future state. Future life"
BT,960,,,,,985,,,,"Invisible world (saints, demons, etc.)"
BT,990,,,,,1010,,,,"Creeds, confessions, covenants, etc."
BT,1029,,,,,1040,,,,"Catechisms"
BT,1095,,,,,1255,,,,"Apologetics. Evidences of Christianity"
BT,1313,,,,,1480,,,,"History of specific doctrines and movements. Heresies and schisms"
BV,1,,,,,5099,,,,"Practical Theology"
BV,5,,,,,530,,,,"Worship (Public and private)"
BV,30,,,,,135,,,,"Times and seasons. The Church year"
BV,43,,,,,64,,,,"Feast days"
BV,65,,,,,70,,,,"Saints' days"
BV,80,,,,,105,,,,"Fasts"
BV,107,,,,,133,,,,"Lord's Day. Sunday. Sabbath"
BV,150,,,,,168,,,,"Christian symbols and symbolism"
BV,169,,,,,199,,,,"Liturgy and ritual"
BV,200,,,,,,,,,"Family worship"
BV,205,,,,,287,,,,"Prayer"
BV,301,,,,,530,,,,"Hymnology"
BV,360,,,,,465,,,,"Denominational and special types of hymnbooks in English"
BV,467,,,,,510,,,,"Hymns in languages other than English"
BV,590,,,,,1652,,,,"Ecclesiastical theology"
BV,598,,,,,603,,,,"The Church"
BV,629,,,,,631,,,,"Church and state"
BV,637,,,,,637,5,,,"City churches"
BV,638,,,,,638,8,,,"The rural church. The church and country life"
BV,646,,,,,651,,,,"Church polity"
BV,652,,,,,652,9,,,"Church management. Efficiency"
BV,652,95,,,,657,,,,"Mass media and telecommunication in religion"
BV,659,,,,,683,,,,"Ministry. Clergy. Religious vocations"
BV,700,,,,,707,,,,"Parish. Congregation. The local church"
BV,770,,,,,777,,,,"Church finance. Church property"
BV,800,,,,,873,,,,"Sacraments. Ordinances"
BV,803,,,,,814,,,,"Baptism"
BV,823,,,,,828,,,,"Holy Communion. Lord's Supper. Eucharist"
BV,835,,,,,838,,,,"Marriage"
BV,840,,,,,850,,,,"Penance"
BV,895,,,,,896,,,,"Shrines. Holy places"
BV,900,,,,,1450,,,,"Religious societies, associations, etc."
BV,950,,,,,1280,,,,"Religious societies of men, brotherhoods, etc."
BV,1000,,,,,1220,,,,"Young Men's Christian Associations"
BV,1300,,,,,1395,,,,"Religious societies of women"
BV,1300,,,,,1393,,,,"Young Women's Christian Associations"
BV,1460,,,,,1615,,,,"Religious education (General)"
BV,1620,,,,,1652,,,,"Social life, recreation, etc., in the church"
BV,2000,,,,,3705,,,,"Missions"
